Index,Area,Perimeter,Solidity,Compactness,Extent,Convex hull(convex area),Type_MAMRA,Type_REGULAR,Type_SANORA,L,W,D,Length A,Length B
2101,0.18635016828227716,0.16857339517368244,0.5103322583681537,-0.1871274206280535,-0.19058706051625074,0.1473084663166947,False,True,False,True,False,True,5.16370685554487,-3.0374136168968446
2102,0.2007887036921743,0.17786150003027526,0.4712681010025711,-0.18998457444169226,-0.10906983416613086,0.16497327347633686,False,True,False,True,False,True,5.270286834874927,-3.0323569930079373
2103,0.22785188815394128,0.5418226863092858,-0.7682352462811746,0.25265444012335564,-0.10889288510199674,0.30520304482514626,False,True,False,True,False,True,5.2572910736714,-2.867304461819498
2104,0.2516137994440986,0.2829754137657459,0.45355201142409085,-0.1100765725380062,-0.2468224114850891,0.2170194846305907,False,True,False,True,False,True,5.28571561693882,-2.945031171739338
2105,0.1410030093315952,0.9138394147268433,-0.8076797148982301,0.9109931653966743,-0.23271728149384419,0.21800281385617715,False,True,False,True,False,True,4.550932598953174,-2.7414840570622436
2106,0.20336442232057303,1.1756623906518064,-1.4572295523079006,1.2234936382001664,-1.2062958764745773,0.3471701314171391,False,True,False,True,False,True,4.682804741169842,-2.597821276034069
2107,0.19694326461315645,0.9138394147268433,-1.120892858955456,0.8263203008093054,-0.4384673666428878,0.30685363316809494,False,True,False,True,False,True,4.779861641053025,-2.6945619903869424
2108,0.17709934785633805,0.9265390030911168,-1.1136967580627997,0.8752269018094504,-0.08940553188468159,0.28507991460153803,False,True,False,True,False,True,4.527743873704659,-2.602630377563971
2109,-0.6879793340140316,-0.7197248058516085,0.15472530122145553,-0.3333896270255475,-0.9662191671249168,-0.7019367955808534,False,True,False,False,True,True,-0.4584362906335856,-3.068671437072011
2110,-0.7160220171091333,-0.8406945107564603,0.2120323039013916,-0.47723051758899665,-0.5802753348574282,-0.7330170228895677,False,True,False,False,True,True,-0.5588265362770154,-3.116262383518535
2111,-0.6880518894683527,-0.5585521968600722,-0.02515089774963235,-0.07230168852516991,-1.076186927747962,-0.6927356435414374,False,True,False,False,True,True,-0.4334080622786336,-3.0349460969796698
2112,-0.7300614975202645,-0.6315187522655702,-0.024995897639689957,-0.11832896168816308,-1.160887322372029,-0.7353348703498787,False,True,False,False,True,True,-0.5410665558116632,-3.133930924736244
2113,-0.7128658548461658,-0.0046825164296175874,-0.936246424422173,1.0150645303212904,-1.1608823691823764,-0.6696976445419835,False,True,False,False,True,True,-0.8715233076025541,-2.8300850036633634
2114,-0.7221529529992655,-0.21491035113688997,-0.7189862868482408,0.6189633241643038,-0.4601495633222618,-0.6912255308021439,False,True,False,False,True,True,-0.8498920640446676,-2.9240232558000017
2115,-0.7185614580103715,-0.20221075967133176,-0.7511437081583543,0.6348615350612833,-0.6105398412396855,-0.6857469822595909,False,True,False,False,True,True,-0.8430317758753226,-2.917378335528953
2116,-0.7355031565943463,-0.4257544664278643,-0.9298511958137831,0.25294550584468056,-0.9300121936404843,-0.6938945672715928,False,True,False,False,True,True,-0.6479734388256024,-3.0104149229965222
2117,1.105845440893465,0.5675828753241006,0.4710179925865399,-0.4619079309598405,0.40863148366185653,1.0640873746714832,False,True,False,True,True,False,4.931518154990566,-0.5678257659681568
2118,0.9121949333104729,0.6244383598914061,-0.6730839292029114,-0.2772144556831204,-0.5611974301657706,1.0090560569395561,False,True,False,True,True,False,5.313091120925586,-1.1068296510765083
2119,1.057958841041545,1.6675219794009633,-0.5559622155891085,0.806933225202203,-0.29930631510324923,1.145492986989675,False,True,False,True,True,False,5.280617795147131,-0.8029713371385623
2120,1.1784008952145564,0.598678173977876,0.37724142942937156,-0.47533753049604205,0.4568077713820734,1.1479513100536411,False,True,False,True,True,False,4.9894296784980225,-0.4465250725944174
2121,1.709144043573338,1.3227532927226946,-0.10060433809303337,-0.09630913769847149,0.18805561986943378,1.7492220125988367,False,True,False,True,True,False,6.730268162016326,0.01646030831929763
2122,1.8167800600586768,1.0884336273513335,0.4501580681352401,-0.3744056467941221,0.38385358076144493,1.7734891731302735,False,True,False,True,True,False,6.804290410108564,0.09222626602044286
2123,1.7653745206721836,1.215354731265822,-0.18996125178253093,-0.23109504552131452,0.7848190539123588,1.8204080247511123,False,True,False,True,True,False,7.030313492821774,-0.001818832709594917
2124,1.6489592942139928,0.9759552390255969,0.26743624872369076,-0.3877031947128941,0.6718800619306465,1.6332242828805503,False,True,False,True,True,False,6.647004186008427,-0.14822412128247203
